Strategy,Entry,Exit,PnL,Type
LiquidityHunter2026,5125.29,5130.29,-0.081920088,short
LiquidityHunter2026,5127.22,5132.22,-0.081933984,short
LiquidityHunter2026,5133.98,5118.98,0.09808934399999998,short
LiquidityHunter2026,5118.98,5123.98,-0.08187465599999999,short
LiquidityHunter2026,5122.4,5107.4,0.09817271999999999,short
LiquidityHunter2026,5108.15,5113.15,-0.08179668,short
LiquidityHunter2026,5112.71,5117.71,-0.081829512,short
LiquidityHunter2026,5103.59,5108.59,-0.081763848,short
LiquidityHunter2026,5108.77,5113.77,-0.081801144,short
LiquidityHunter2026,5108.1,5093.1,0.09827567999999998,short
LiquidityHunter2026,5083.68,5088.68,-0.081620496,short
LiquidityHunter2026,5094.45,5099.45,-0.08169804,short
LiquidityHunter2026,5092.32,5097.32,-0.081682704,short
LiquidityHunter2026,5103.79,5088.79,0.09830671199999999,short
LiquidityHunter2026,5089.72,5074.72,0.09840801599999999,short
LiquidityHunter2026,5070.72,5075.72,-0.081527184,short
LiquidityHunter2026,5087.24,5092.24,-0.081646128,short
LiquidityHunter2026,5096.74,5081.74,0.09835747199999999,short
LiquidityHunter2026,5082.5,5067.5,0.09845999999999998,short
LiquidityHunter2026,5082.78,5087.78,-0.081614016,short
LiquidityHunter2026,5079.08,5084.08,-0.08158737599999999,short
LiquidityHunter2026,5091.05,5086.05,-0.08163756,long
LiquidityHunter2026,5093.79,5088.79,-0.081657288,long
LiquidityHunter2026,5087.06,5092.06,-0.081644832,short
LiquidityHunter2026,5092.56,5087.56,-0.08164843199999999,long
LiquidityHunter2026,5082.06,5087.06,-0.081608832,short
LiquidityHunter2026,5083.62,5088.62,-0.08162006399999999,short
LiquidityHunter2026,5090.68,5105.68,0.09829310399999998,long
LiquidityHunter2026,5106.45,5101.45,-0.08174844,long
LiquidityHunter2026,5093.98,5088.98,-0.081658656,long
LiquidityHunter2026,5094.64,5089.64,-0.08166340799999999,long
LiquidityHunter2026,5093.69,5088.69,-0.081656568,long
LiquidityHunter2026,5087.51,5092.51,-0.081648072,short
LiquidityHunter2026,5094.83,5109.83,0.09826322399999998,long
LiquidityHunter2026,5100.63,5095.63,-0.081706536,long
